City,Mean GHI (kWh/m²/d),P10 GHI,P50 GHI,P90 GHI,Reliability Score,RS Category,Model RMSE,Model MAPE (%),Prediction Confidence,Suitability,Explanation
Bengaluru,5.272,3.58,5.37,6.88,81.1,Consistent Producer,1.5739,24.3,High,✅ Highly Suitable,"Good solar resource availability, high climatic reliability, high prediction confidence."
Hyderabad,5.033,3.36,5.08,6.59,79.5,Consistent Producer,1.4344,26.1,High,✅ Highly Suitable,"Good solar resource availability, high climatic reliability, high prediction confidence."
Ahmedabad,5.285,3.49,5.23,7.29,76.5,Consistent Producer,1.7727,29.5,Medium,👍 Suitable,"Good solar resource availability, high climatic reliability."
Kochi,5.266,3.44,5.5,6.73,81.3,Consistent Producer,1.6689,28.4,Medium,👍 Suitable,"Good solar resource availability, high climatic reliability."
Mangalore,5.134,2.97,5.43,6.7,76.0,Consistent Producer,1.6605,32.9,Medium,👍 Suitable,"Good solar resource availability, high climatic reliability."
Jaipur,5.115,3.31,5.12,7.02,80.7,Consistent Producer,1.5875,28.0,Medium,👍 Suitable,"Good solar resource availability, high climatic reliability."
Mumbai,5.076,3.1,5.11,6.95,71.6,Consistent Producer,1.6106,28.7,Medium,👍 Suitable,"Good solar resource availability, high climatic reliability."
Chennai,5.066,3.05,5.36,6.56,80.7,Consistent Producer,1.5524,32.1,Medium,👍 Suitable,"Good solar resource availability, high climatic reliability."
Bhopal,4.965,2.92,4.92,7.02,73.0,Consistent Producer,1.5798,30.6,Medium,👍 Suitable,"Good solar resource availability, high climatic reliability."
Pune,4.921,2.82,4.93,6.96,65.2,Seasonal Producer,1.5213,27.0,High,👍 Suitable,"Good solar resource availability, high prediction confidence."
Bhubaneswar,4.614,2.83,4.66,6.29,76.6,Consistent Producer,1.3015,29.1,Medium,👍 Suitable,"Good solar resource availability, high climatic reliability."
Chandigarh,5.064,2.63,5.2,7.3,76.9,Consistent Producer,1.8882,40.3,Low,⚠️ Moderately Suitable,"Good solar resource availability, high climatic reliability, higher prediction uncertainty."
Delhi,4.68,2.62,4.74,6.81,73.9,Consistent Producer,1.6429,40.1,Low,⚠️ Moderately Suitable,"Good solar resource availability, high climatic reliability, higher prediction uncertainty."
Kolkata,4.368,2.64,4.38,6.08,76.2,Consistent Producer,1.2998,33.9,Medium,⚠️ Moderately Suitable,"Moderate solar resource availability, high climatic reliability."
Guwahati,4.297,2.58,4.29,5.99,81.4,Consistent Producer,1.2485,28.4,Medium,⚠️ Moderately Suitable,"Moderate solar resource availability, high climatic reliability."
