City,System_Size_kW,Annual_Generation_kWh,Annual_Savings,Payback_Years,Lifetime_Savings,Investment_Recommendation,Recommendation_Explanation
Bengaluru,3.0,4503,31520,3.7,1224427,Highly Recommended,"Bengaluru is Highly Recommended for residential solar investment. The city exhibits strong solar resource availability (Mean GHI: 5.27 kWh/m²/d), high climatic reliability (Reliability Score: 81.1/100), and an estimated payback period of 3.7 years — well below the 7-year threshold for strong ROI. The recommended 3.0 kW system is expected to generate 4,503 kWh/year, saving ₹31,520 in the first year and ₹1,224,427 over 25 years."
Ahmedabad,3.0,4514,31597,3.7,1227446,Recommended,"Ahmedabad is Recommended for residential solar investment. Solar resource availability is good (Mean GHI: 5.29 kWh/m²/d) with a reliability score of 76.5/100. The estimated payback period of 3.7 years is within acceptable bounds. A 3.0 kW system is recommended, projecting 4,514 kWh/year in generation and ₹1,227,446 in lifetime savings."
Kochi,3.0,4498,31484,3.7,1223034,Recommended,"Kochi is Recommended for residential solar investment. Solar resource availability is good (Mean GHI: 5.27 kWh/m²/d) with a reliability score of 81.3/100. The estimated payback period of 3.7 years is within acceptable bounds. A 3.0 kW system is recommended, projecting 4,498 kWh/year in generation and ₹1,223,034 in lifetime savings."
Hyderabad,3.0,4299,30091,3.8,1168919,Highly Recommended,"Hyderabad is Highly Recommended for residential solar investment. The city exhibits strong solar resource availability (Mean GHI: 5.03 kWh/m²/d), high climatic reliability (Reliability Score: 79.5/100), and an estimated payback period of 3.8 years — well below the 7-year threshold for strong ROI. The recommended 3.0 kW system is expected to generate 4,299 kWh/year, saving ₹30,091 in the first year and ₹1,168,919 over 25 years."
Mangalore,3.5,5116,35810,3.9,1391106,Recommended,"Mangalore is Recommended for residential solar investment. Solar resource availability is good (Mean GHI: 5.13 kWh/m²/d) with a reliability score of 76.0/100. The estimated payback period of 3.9 years is within acceptable bounds. A 3.5 kW system is recommended, projecting 5,116 kWh/year in generation and ₹1,391,106 in lifetime savings."
Jaipur,3.5,5097,35678,3.9,1385958,Recommended,"Jaipur is Recommended for residential solar investment. Solar resource availability is good (Mean GHI: 5.12 kWh/m²/d) with a reliability score of 80.7/100. The estimated payback period of 3.9 years is within acceptable bounds. A 3.5 kW system is recommended, projecting 5,097 kWh/year in generation and ₹1,385,958 in lifetime savings."
Mumbai,3.5,5058,35406,3.9,1375390,Recommended,"Mumbai is Recommended for residential solar investment. Solar resource availability is good (Mean GHI: 5.08 kWh/m²/d) with a reliability score of 71.6/100. The estimated payback period of 3.9 years is within acceptable bounds. A 3.5 kW system is recommended, projecting 5,058 kWh/year in generation and ₹1,375,390 in lifetime savings."
Chennai,3.5,5048,35336,3.9,1372681,Recommended,"Chennai is Recommended for residential solar investment. Solar resource availability is good (Mean GHI: 5.07 kWh/m²/d) with a reliability score of 80.7/100. The estimated payback period of 3.9 years is within acceptable bounds. A 3.5 kW system is recommended, projecting 5,048 kWh/year in generation and ₹1,372,681 in lifetime savings."
Bhopal,3.5,4947,34632,4.0,1345314,Recommended,"Bhopal is Recommended for residential solar investment. Solar resource availability is good (Mean GHI: 4.96 kWh/m²/d) with a reliability score of 73.0/100. The estimated payback period of 4.0 years is within acceptable bounds. A 3.5 kW system is recommended, projecting 4,947 kWh/year in generation and ₹1,345,314 in lifetime savings."
Chandigarh,4.0,5767,40368,4.0,1568159,Consider Carefully,"Chandigarh warrants Careful Consideration before committing to solar investment. While solar resource suitability is rated '⚠️ Moderately Suitable', the estimated payback period of 4.0 years is longer than optimal, possibly reflecting lower GHI (5.06 kWh/m²/d) or higher system costs relative to consumption. A 4.0 kW system is feasible, but the homeowner should verify the latest tariff rates and explore available subsidies before proceeding."
Pune,4.0,5604,39228,4.1,1523876,Recommended,"Pune is Recommended for residential solar investment. Solar resource availability is good (Mean GHI: 4.92 kWh/m²/d) with a reliability score of 65.2/100. The estimated payback period of 4.1 years is within acceptable bounds. A 4.0 kW system is recommended, projecting 5,604 kWh/year in generation and ₹1,523,876 in lifetime savings."
Delhi,4.0,5330,37307,4.3,1449246,Consider Carefully,"Delhi warrants Careful Consideration before committing to solar investment. While solar resource suitability is rated '⚠️ Moderately Suitable', the estimated payback period of 4.3 years is longer than optimal, possibly reflecting lower GHI (4.68 kWh/m²/d) or higher system costs relative to consumption. A 4.0 kW system is feasible, but the homeowner should verify the latest tariff rates and explore available subsidies before proceeding."
Bhubaneswar,4.0,5254,36781,4.4,1428808,Recommended,"Bhubaneswar is Recommended for residential solar investment. Solar resource availability is good (Mean GHI: 4.61 kWh/m²/d) with a reliability score of 76.6/100. The estimated payback period of 4.4 years is within acceptable bounds. A 4.0 kW system is recommended, projecting 5,254 kWh/year in generation and ₹1,428,808 in lifetime savings."
Kolkata,4.0,4974,34820,4.7,1352630,Consider Carefully,"Kolkata warrants Careful Consideration before committing to solar investment. While solar resource suitability is rated '⚠️ Moderately Suitable', the estimated payback period of 4.7 years is longer than optimal, possibly reflecting lower GHI (4.37 kWh/m²/d) or higher system costs relative to consumption. A 4.0 kW system is feasible, but the homeowner should verify the latest tariff rates and explore available subsidies before proceeding."
Guwahati,4.0,4893,34254,4.7,1330643,Consider Carefully,"Guwahati warrants Careful Consideration before committing to solar investment. While solar resource suitability is rated '⚠️ Moderately Suitable', the estimated payback period of 4.7 years is longer than optimal, possibly reflecting lower GHI (4.30 kWh/m²/d) or higher system costs relative to consumption. A 4.0 kW system is feasible, but the homeowner should verify the latest tariff rates and explore available subsidies before proceeding."
